STATION,LINENAME,ZIPCODE
PRINCE ST,NRW,10012
PROSPECT AV,R,11215
PROSPECT AV,25,10459
PROSPECT PARK,BQS,11225
QUEENS PLAZA,EMR,11101
QUEENSBORO PLZ,7NQW,11101
RALPH AV,C,11233
RECTOR ST,NRW,10006
RECTOR ST,1,10006
RIT-MANHATTAN,R,10022
RIT-ROOSEVELT,R,10044
ROCKAWAY AV,C,11233
ROCKAWAY AV,3,11212
ROCKAWAY BLVD,A,11417
ROCKAWAY PARK B,AS,11694
ROOSEVELT ISLND,F,10044
SARATOGA AV,3,11212
SENECA AVE,M,11385
SHEEPSHEAD BAY,BQ,11235
SHEPHERD AV,C,11208
SIMPSON ST,25,10459
SMITH-9 ST,FG,11231
SOUTH FERRY,1RW,10004
SPRING ST,CE,10013
SPRING ST,6,10012
ST LAWRENCE AV,6,10472
ST. GEORGE,1,10301
STEINWAY ST,MR,11103
STERLING ST,25,11225
SUTPHIN BLVD,F,11435
SUTPHIN-ARCHER,EJZ,11435
SUTTER AV,L,11207
SUTTER AV-RUTLD,3,11212
THIRTY ST,1,10199
THIRTY THIRD ST,1,10001
TIMES SQ-42 ST,ACENQRS1237W,10036
TIMES SQ-42 ST,1237ACENQRSW,10036
TIMES SQ-42 ST,1237ACENQRS,10036
TOMPKINSVILLE,1,10301
TREMONT AV,BD,10453
TWENTY THIRD ST,1,10011
UNION ST,R,11217
UTICA AV,AC,11233
V.CORTLANDT PK,1,10471
VAN SICLEN AV,JZ,11207
VAN SICLEN AV,3,11207
VAN SICLEN AVE,C,11207
VERNON-JACKSON,7,11101
W 4 ST-WASH SQ,ABCDEFM,10014
W 8 ST-AQUARIUM,FQ,11224
WAKEFIELD/241,2,10470
WALL ST,23,10005
WALL ST,45,10006
WEST FARMS SQ,25,10460
WESTCHESTER SQ,6,10461
WHITEHALL S-FRY,R1W,10004
WHITLOCK AV,6,10459
WILSON AV,L,11207
WINTHROP ST,25,11225
WOODHAVEN BLVD,JZ,11421
WOODHAVEN BLVD,MR,11373
WOODLAWN,4,10467
WORLD TRADE CTR,ACE23,10007
WTC-CORTLANDT,1,10007
YORK ST,F,11201
ZEREGA AV,6,10461
